XX市信息中心人员信息表

姓名,部门,职务,工号,联系电话,邮箱
张明,技术保障科,科长,GZ001,13800138001,zhangming@xx.gov.cn
李芳,数据管理科,副科长,GZ002,13800138002,lifang@xx.gov.cn
王强,网络安全科,高级工程师,GZ003,13800138003,wangqiang@xx.gov.cn
赵丽,政务服务科,科员,GZ004,13800138004,zhaoli@xx.gov.cn
陈伟,数据管理科,工程师,GZ005,13800138005,chenwei@xx.gov.cn
孙悦,技术保障科,助理工程师,GZ006,13800138006,sunyue@xx.gov.cn
周涛,网络安全科,安全分析师,GZ007,13800138007,zhoutao@xx.gov.cn
吴敏,政务服务科,科员,GZ008,13800138008,wumin@xx.gov.cn
郑浩,数据管理科,高级工程师,GZ009,13800138009,zhenghao@xx.gov.cn
林雪,政务服务科,副科长,GZ010,13800138010,linxue@xx.gov.cn

说明：本表为内部资料，仅供工作联系使用，未经批准不得对外提供。
